host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,host_duration,first_review_dur,last_review_dur,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,neighbourhood_cleansed_Allston,neighbourhood_cleansed_Back Bay,neighbourhood_cleansed_Bay Village,neighbourhood_cleansed_Beacon Hill,neighbourhood_cleansed_Brighton,neighbourhood_cleansed_Charlestown,neighbourhood_cleansed_Chinatown,neighbourhood_cleansed_Dorchester,neighbourhood_cleansed_Downtown,neighbourhood_cleansed_East Boston,neighbourhood_cleansed_Fenway,neighbourhood_cleansed_Hyde Park,neighbourhood_cleansed_Jamaica Plain,neighbourhood_cleansed_Leather District,neighbourhood_cleansed_Longwood Medical Area,neighbourhood_cleansed_Mattapan,neighbourhood_cleansed_Mission Hill,neighbourhood_cleansed_North End,neighbourhood_cleansed_Roslindale,neighbourhood_cleansed_Roxbury,neighbourhood_cleansed_South Boston,neighbourhood_cleansed_South Boston Waterfront,neighbourhood_cleansed_South End,neighbourhood_cleansed_West End,neighbourhood_cleansed_West Roxbury,property_type_Apartment,property_type_Bed & Breakfast,property_type_Boat,property_type_Camper/RV,property_type_Condominium,property_type_Dorm,property_type_Entire Floor,property_type_Guesthouse,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,property_type_Villa,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,bed_type_Airbed,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_super_strict_30,24,accessible,aid,air,allowed,bedroom,breakfast,building,buzzer,cable,carbon,card,cat,detector,dog,doorman,dryer,essentials,events,extinguisher,family,fireplace,free,friendly,gym,hair,hangers,heating,hot,in,internet,iron,kitchen,laptop,live,off,on,other,parking,pets,pool,premises,shampoo,smoke,smoking,street,tv,washer,wireless,amex,email,facebook,google,jumio,kba,linkedin,manual_offline,manual_online,phone,reviews,sent_id,weibo,price2
0.83,1.0,False,1,1,True,False,Roslindale,42.286448197788786,-71.13932538848039,True,2,1.0,1.0,1.0,60.0,30.0,1,10.0,1,1125,16,38,68,343,1,80.0,10.0,8.0,8.0,10.0,10.0,10.0,False,False,False,1,0.36,166,81.0,81.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,4.0943445622221
1.0,0.89,True,2,2,True,True,Roslindale,42.281941832424685,-71.13337190191741,True,1,1.0,1.0,1.0,57.0,40.0,1,0.0,1,1125,6,36,66,341,17,94.0,9.0,10.0,10.0,10.0,9.0,9.0,False,False,False,2,0.48,1088,1051.0,19.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,4.04305126783455
1.0,1.0,False,2,2,True,False,Roslindale,42.29172341146307,-71.13155602161845,True,4,1.0,2.0,2.0,93.0,40.0,1,0.0,1,1125,0,0,0,0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,True,False,False,2,0.64,890,45.0,45.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,4.532599493153256
1.0,0.97,False,1,1,True,True,Roslindale,42.287641034701096,-71.12988286590424,True,5,1.0,2.0,3.0,150.0,50.0,5,30.0,2,21,8,17,39,129,12,97.0,10.0,10.0,10.0,10.0,9.0,10.0,False,False,False,1,4.93,215,71.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,5.0106352940962555
0.75,1.0,False,1,1,True,True,Roslindale,42.28626473620894,-71.13706513072117,True,2,1.5,2.0,2.0,145.0,150.0,2,35.0,3,1125,11,14,44,319,7,91.0,9.0,9.0,10.0,9.0,9.0,9.0,False,False,False,1,0.56,1045,371.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,4.976733742420574
1.0,0.79,False,2,2,True,False,Roslindale,42.2814520694321,-71.12925004404066,True,1,0.0,1.0,1.0,60.0,68.38014527845036,1,0.0,1,365,4,34,64,339,70,96.0,9.0,10.0,10.0,10.0,9.0,10.0,True,False,False,2,1.16,1815,1811.0,35.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,4.0943445622221
1.0,1.0,False,1,1,True,False,Roslindale,42.27440801253166,-71.12529404441553,True,4,1.0,1.0,3.0,165.0,50.0,3,15.0,3,1125,20,50,80,349,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,False,False,False,1,1.0,2008,11.0,11.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,5.10594547390058
1.0,1.0,False,2,2,True,False,Roslindale,42.29181491557826,-71.13158793430709,True,2,1.0,1.0,1.0,75.0,20.0,1,15.0,1,1125,0,0,0,0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,True,False,False,2,0.37,890,78.0,78.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,4.31748811353631
1.0,1.0,True,3,3,True,True,Roslindale,42.282224755841604,-71.11518855890074,True,1,1.0,1.0,1.0,49.0,68.38014527845036,1,10.0,5,1125,0,0,20,295,0,91.91666666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.646548608601373,9.414042707202317,9.16823444283647,False,False,False,3,1.970908448214916,465,439.475079533404,86.51643690349947,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,3.8918202981106265
1.0,1.0,True,3,3,True,True,,42.28280175042395,-71.11514509094087,False,2,1.0,1.0,1.0,49.0,68.38014527845036,1,10.0,5,1125,0,0,0,262,4,95.0,9.0,10.0,10.0,10.0,9.0,10.0,False,False,False,3,0.29,465,415.0,16.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,3.8918202981106265
